year,electorate,party,candidate,all,ordinary,special
2002,Aoraki,ACT,"MURRAY, Kevin",579,534,45
2002,Aoraki,Alliance,"BUCHANAN, Andrew",197,173,24
2002,Aoraki,Christian Heritage,"SIMPSON, John",616,573,43
2002,Aoraki,Green Party,"MUSGRAVE, David",1327,1210,117
2002,Aoraki,Labour Party,"SUTTON, James Robert",16316,15088,1228
2002,Aoraki,Legalise Cannabis,"MITCHELL, Christine Robyn",453,413,40
2002,Aoraki,National Party,"MARRIOTT, Wayne Francis",9863,9114,749
2002,Aoraki,Progressive Coalition,"SIMMONS, Lynley",446,410,36
2002,Aoraki,United Future,"BUNTING, Antony",1176,1097,79
2002,Auckland Central,ACT,"BELTOWSKI, Lech Andrew",1223,953,270
2002,Auckland Central,Alliance,"TREEN, Michael",365,294,71
2002,Auckland Central,Christian Heritage,"REYNOLDS, Sean",235,194,41
2002,Auckland Central,Green Party,"TÁNCZOS, Nándor",6212,4931,1281
2002,Auckland Central,Human Rights,"VAN DEN HEUVEL, Anthony Joseph",66,51,15
2002,Auckland Central,Independent,"HEAD, Neil Graham",97,79,18
2002,Auckland Central,Labour Party,"TIZARD, Judith Ngaire",13298,11236,2062
2002,Auckland Central,National Party,"WONG, Pansy",8093,6728,1365
2002,Auckland Central,Progressive Coalition,"SHEPHERD, Vivienne",333,279,54
2002,Auckland Central,United Future,"TAYLOR, Stephen",770,629,141
2002,Banks Peninsula,ACT,"KING, Paul Anthony",834,740,94
2002,Banks Peninsula,Alliance,"MCCLIMONT, Francis",234,204,30
2002,Banks Peninsula,Christian Heritage,"BARKER, Gerald",476,433,43
2002,Banks Peninsula,Green Party,"DONALD, Rodney",4223,3647,576
2002,Banks Peninsula,Labour Party,"DYSON, Ruth Suzanne",16233,14731,1502
2002,Banks Peninsula,National Party,"CARTER, David",12176,11042,1134
2002,Banks Peninsula,Progressive Coalition,"CLEARWATER, Philip",646,573,73
2002,Banks Peninsula,United Future,"MCEWIN, Stephanie",1284,1182,102
2002,Bay of Plenty,ACT,"STEENSON, Graham Douglas",371,320,51
2002,Bay of Plenty,Christian Heritage,"HOLLAND, Richard",416,365,51
2002,Bay of Plenty,Green Party,"TE KEETI, Te Ruruanga",1098,915,183
2002,Bay of Plenty,Labour Party,"TAARE, Mei Matere",6494,5865,629
2002,Bay of Plenty,NZ First,"BROWN, Peter",7378,6735,643
2002,Bay of Plenty,National Party,"RYALL, Anthony Boyd Williams",12975,11830,1145
2002,Bay of Plenty,Progressive Coalition,"NEILL, John",249,220,29
2002,Bay of Plenty,United Future,"CASSIDY, John",1231,1115,116
2002,Christchurch Central,ACT,"WATSON, Anthony Francis",762,662,100
2002,Christchurch Central,Alliance,"GORDON, Elizabeth",635,549,86
2002,Christchurch Central,Christian Heritage,"POLLARD, Victor",874,760,114
2002,Christchurch Central,Communist League,"APPU, Baskaran",99,87,12
2002,Christchurch Central,Green Party,"MORRIS, Matthew",1791,1387,404
2002,Christchurch Central,Labour Party,"BARNETT, Timothy Andrew",17190,14951,2239
2002,Christchurch Central,Legalise Cannabis,"SAXBY, Jeanette Ellen",469,376,93
2002,Christchurch Central,National Party,"WAGNER, Nicola Joanne",6837,5838,999
2002,Christchurch Central,Progressive Coalition,"CHURTON, Fleur",761,655,106
2002,Christchurch Central,United Future,"RUSSELL, Stephen",1160,1016,144
2002,Christchurch East,ACT,"PETERS, Andre John",841,758,83
2002,Christchurch East,Alliance,"POUNDER, Colin",315,286,29
2002,Christchurch East,Anti-Capitalist Alliance,"FERGUSON, Philip Laurence",79,72,7
2002,Christchurch East,Christian Heritage,"PHILLIPS, Judith",577,539,38
2002,Christchurch East,Green Party,"MCCAMMON, Mary",1557,1334,223
2002,Christchurch East,Labour Party,"DALZIEL, Lianne Audrey",19784,18316,1468
2002,Christchurch East,Legalise Cannabis,"BRITNELL, Michael Allan",512,438,74
2002,Christchurch East,National Party,"JOHNSTON, Stephen Andrew",4920,4495,425
2002,Christchurch East,Progressive Coalition,"CULVERHOUSE, David",834,778,56
2002,Christchurch East,United Future,"DUXBURY, Paul",1532,1409,123
2002,Clevedon,ACT,"THOMPSON, John Stanley",1914,1688,226
2002,Clevedon,Alliance,"CORLETT, Nicholas",229,194,35
2002,Clevedon,Christian Heritage,"ARVIDSON, David",891,805,86
2002,Clevedon,Green Party,"COWIE, Susan",1427,1192,235
2002,Clevedon,Independent,"ARCHIBALD, Glenn William",2263,2111,152
2002,Clevedon,Labour Party,"HEREORA, David Murray",8500,7587,913
2002,Clevedon,NZ First,"CATCHPOLE, Brent Stanley",3655,3330,325
2002,Clevedon,National Party,"COLLINS, Judith Anne",11627,10485,1142
2002,Clevedon,Progressive Coalition,"TOMS, Arthur",340,301,39
2002,Clutha-Southland,ACT,"HENDERSON, Roland James",396,373,23
2002,Clutha-Southland,Alliance,"FLYNN, James",117,102,15
2002,Clutha-Southland,Christian Heritage,"BRADFIELD, Grant",365,336,29
2002,Clutha-Southland,Green Party,"BELCHER, Dayle",605,517,88
2002,Clutha-Southland,Independent,"WEBBER, David Wayne",73,60,13
2002,Clutha-Southland,Labour Party,"SOPER, Lesley Frances",9351,8718,633
2002,Clutha-Southland,NZ First,"MACKIE, David John",1059,986,73
2002,Clutha-Southland,National Party,"ENGLISH, Simon William",16159,14978,1181
2002,Clutha-Southland,Progressive Coalition,"WHITE, Roger",168,157,11
2002,Clutha-Southland,United Future,"LIETZE, Joy",742,688,54
2002,Coromandel,ACT,"OLSEN, David Edward",771,682,89
2002,Coromandel,Christian Heritage,"PARLOUR, David",329,284,45
2002,Coromandel,Green Party,"FITZSIMONS, Jeanette",7724,6676,1048
2002,Coromandel,Labour Party,"PURNELL, Max Andrew",8748,8005,743
2002,Coromandel,National Party,"GOUDIE, Sandra Anne",14706,13485,1221
2002,Coromandel,Progressive Coalition,"ANDERSON, Annette",367,312,55
2002,Coromandel,United Future,"ROBERTSON, Stuart",1113,1012,101
2002,Dunedin North,ACT,"MARTIN, Willie James",520,468,52
2002,Dunedin North,Alliance,"PAYNE-HARKER, Carolyn",586,514,72
2002,Dunedin North,Christian Heritage,"PEOPLES, Glenn",280,249,31
2002,Dunedin North,Green Party,"DIREEN, Philippa",2028,1715,313
2002,Dunedin North,Labour Party,"HODGSON, Peter Colin",17573,15828,1745
2002,Dunedin North,Legalise Cannabis,"MCMULLAN, Paul John",606,527,79
2002,Dunedin North,National Party,"RICH, Katherine",6936,6202,734
2002,Dunedin North,Progressive Coalition,"JORGENSEN, Frede",306,273,33
2002,Dunedin North,United Future,"WHITCOMBE, Todd",697,620,77
2002,Dunedin South,ACT,"DWYER, Matthew Cain",859,796,63
2002,Dunedin South,Alliance,"WILSON, Justin",601,555,46
2002,Dunedin South,Christian Heritage,"ALDRIDGE, Graham",576,536,40
2002,Dunedin South,Green Party,"BUTCHER, Felicity",2023,1789,234
2002,Dunedin South,Labour Party,"BENSON-POPE, David Henry",20398,19050,1348
2002,Dunedin South,National Party,"FOSTER, Paul Ayers Robert",5674,5223,451
2002,Dunedin South,Progressive Coalition,"EDWARDS, Russell",750,694,56
2002,Dunedin South,United Future,"O'BRIEN, Jesse",1338,1265,73
2002,East Coast,ACT,"SWAN, David Ian",571,513,58
2002,East Coast,Alliance,"MACLEAN, Gavin",388,349,39
2002,East Coast,Christian Heritage,"MAUKAU-TEARE-SHELFORD, Tania",269,232,37
2002,East Coast,Green Party,"DELAHUNTY, Catherine",1398,1207,191
2002,East Coast,Labour Party,"MACKEY, Janet Elsdon",14519,13571,948
2002,East Coast,National Party,"JENSEN-DAINES, Leanne Tracy",9176,8553,623
2002,East Coast,OneNZ Party,"MOAT, David John",224,209,15
2002,East Coast,United Future,"TURNER, Judith",1573,1445,128
2002,East Coast Bays,ACT,"PEPPER, Julie Anne",1993,1800,193
2002,East Coast Bays,Alliance,"MCLAREN, Fiona",316,264,52
2002,East Coast Bays,Christian Heritage,"CUMMINGS, Ian",399,342,57
2002,East Coast Bays,Green Party,"ELLEY, Jeanette",1688,1403,285
2002,East Coast Bays,Labour Party,"MCCRACKEN, Hamish",10600,9551,1049
2002,East Coast Bays,National Party,"MCCULLY, Murray",12134,10979,1155
2002,East Coast Bays,OneNZ Party,"MCCULLOCH, Alan Morton",528,474,54
2002,East Coast Bays,Progressive Coalition,"HENRY, Jill",508,450,58
2002,East Coast Bays,United Future,"ADAMS, Paul",2872,2595,277
2002,Epsom,ACT,"HIDE, Rodney Philip",7059,6031,1028
2002,Epsom,Alliance,"FAIREY, Julie",317,247,70
2002,Epsom,Christian Heritage,"MOLLOY, Anthony",329,263,66
2002,Epsom,Green Party,"LOCKE, Keith",1831,1365,466
2002,Epsom,Labour Party,"NASH, Diana Mary",7944,6454,1490
2002,Epsom,National Party,"WORTH, Richard Westwood",13563,11473,2090
2002,Epsom,United Future,"RUAKERE, Cindy",731,595,136
2002,Hamilton East,ACT,"DAWSON, Brian George",751,641,110
2002,Hamilton East,Alliance,"GHAEMMAGHAMY, Ravaani",177,140,37
2002,Hamilton East,Christian Heritage,"DENBY, Gavin",307,276,31
2002,Hamilton East,Green Party,"OLSEN, Catherine",1665,1299,366
2002,Hamilton East,Labour Party,"YATES, Dianne Fae",12827,11364,1463
2002,Hamilton East,NZ First,"WOOLERTON, Robert Douglas",2099,1906,193
2002,Hamilton East,National Party,"STEEL, Anthony Gordon",12213,10991,1222
2002,Hamilton East,Progressive Coalition,"MEDLAND, James",177,149,28
2002,Hamilton East,United Future,"CARTER, Richard",1101,968,133
2002,Hamilton West,ACT,"MALLETT, Garry Bruce",1304,1181,123
2002,Hamilton West,Alliance,"WILLS, Craig",164,147,17
2002,Hamilton West,Christian Heritage,"GOODALL, Eleanor",454,396,58
2002,Hamilton West,Green Party,"NORTON-BROWN, Christopher",1203,982,221
2002,Hamilton West,Labour Party,"GALLAGHER, Martin Owen",14614,13396,1218
2002,Hamilton West,Libertarianz,"WIKIRIWHI, Timothy Denis",79,72,7
2002,Hamilton West,NZ First,"GUDGEON, William Mulligan",2091,1904,187
2002,Hamilton West,National Party,"SIMCOCK, Robert Malcolm",9040,8185,855
2002,Hamilton West,Progressive Coalition,"SHIRLEY, Robert",234,209,25
2002,Hamilton West,United Future,"SEDDON, Martyn",932,836,96
2002,Helensville,Alliance,"MACKINLAY, Helen",581,501,80
2002,Helensville,Christian Heritage,"SIMPKIN, David",350,303,47
2002,Helensville,Independent,"NEESON, Brian",5644,5161,483
2002,Helensville,Labour Party,"RUSSELL, Gary William",8070,7162,908
2002,Helensville,NZ First,"JONES, Dail Michael John",2725,2478,247
2002,Helensville,National Party,"KEY, John Phillip",9775,8810,965
2002,Helensville,Progressive Coalition,"DICKSON, Clare",273,234,39
2002,Helensville,United Future,"DEETH, Andrea",1184,1050,134
2002,Hutt South,ACT,"MILNE, Christopher David Astley",2033,1871,162
2002,Hutt South,Alliance,"SUTHERLAND, Anna",581,515,66
2002,Hutt South,Christian Heritage,"BARTLETT, Dennis",508,468,40
2002,Hutt South,Green Party,"HARPHAM, Percy",1726,1451,275
2002,Hutt South,Labour Party,"MALLARD, Trevor Colin",14834,13495,1339
2002,Hutt South,National Party,"TOWNLEY, Richard Paul",7063,6449,614
2002,Hutt South,Progressive Coalition,"WEDDELL, Ross William",566,513,53
2002,Hutt South,United Future,"SMITH, Murray",2910,2706,204
2002,Ikaroa-Rawhiti,Alliance,"TIBBLE, John",570,504,66
2002,Ikaroa-Rawhiti,Aroha Ngia Tatou,"MEI, te aroha Jack",147,126,21
2002,Ikaroa-Rawhiti,Christian Heritage,"EDWARDS, Wiremu",563,515,48
2002,Ikaroa-Rawhiti,Labour Party,"HOROMIA, Parekura Tureia",11192,10230,962
2002,Ikaroa-Rawhiti,Mana Maori,"PHILIP-BARBARA, Glenis Hiria",833,714,119
2002,Ikaroa-Rawhiti,National Party,"DELAMERE, Alan Peter",672,601,71
2002,Ikaroa-Rawhiti,Nga Iwi Morehu,"PLUMRIDGE, Donna Louise",178,157,21
2002,Ikaroa-Rawhiti,Progressive Coalition,"JOWSEY, Toni",183,170,13
2002,Ilam,ACT,"MATTISON, Nigel Desmond",1327,1164,163
2002,Ilam,Alliance,"BOYD, Lynda",439,369,70
2002,Ilam,Christian Heritage,"PIETERS, Gideon",569,496,73
2002,Ilam,Green Party,"GRIFFITHS, Lois",1418,1166,252
2002,Ilam,Labour Party,"POLE, Richard James",11901,10644,1257
2002,Ilam,National Party,"BROWNLEE, Gerard Anthony",15773,14178,1595
2002,Ilam,Progressive Coalition,"PECK, Robert",437,376,61
2002,Ilam,United Future,"ALEXANDER, Marc",1760,1606,154
2002,Invercargill,ACT,"PHISKIE, Peter Henry",313,281,32
2002,Invercargill,Alliance,"MCMARTIN, Anna",202,174,28
2002,Invercargill,Christian Heritage,"CLAYTON, Mervyn",235,218,17
2002,Invercargill,Green Party,"CARSON, Craig",963,825,138
2002,Invercargill,Labour Party,"PECK, Mark Everett",14548,13408,1140
2002,Invercargill,National Party,"ROY, Eric",11756,10784,972
2002,Invercargill,Progressive Coalition,"DE RUYTER, Stephnie",1006,961,45
2002,Invercargill,United Future,"SMITH, Vincent",806,757,49
2002,Kaikoura,ACT,"HOWARD, Thomas Edward (Ted)",458,403,55
2002,Kaikoura,Christian Heritage,"MOORE, John",639,568,71
2002,Kaikoura,Green Party,"EWEN-STREET, Ian",2313,2043,270
2002,Kaikoura,Independent,"BELL, Desmond Joseph",161,136,25
2002,Kaikoura,Labour Party,"BURNS, Brendon",12096,11289,807
2002,Kaikoura,National Party,"SCOTT, Lynda Marie",15165,13856,1309
2002,Kaikoura,Progressive Coalition,"MAIN, Philippa Ruth",365,328,37
2002,Kaikoura,United Future,"SMITH-MISCHESKI, Julee",644,581,63
2002,Mana,ACT,"EWING-JARVIE, Simon Antony",801,712,89
2002,Mana,Alliance,"GILCHRIST, Michael",410,358,52
2002,Mana,Anti-Capitalist Alliance,"HOPKINSON, Paul Barry",74,63,11
2002,Mana,Christian Heritage,"MACLACHLAN, Renton",520,474,46
2002,Mana,Green Party,"MITCHELL, Olivia",2086,1794,292
2002,Mana,Labour Party,"LABAN, Winnie",14576,13315,1261
2002,Mana,National Party,"WOOD, Sue",8200,7552,648
2002,Mana,OneNZ Party,"WHITE, Janet Elaine",152,140,12
2002,Mana,Progressive Coalition,"HENDERSON, Doreen Ethel Marion",399,371,28
2002,Mana,United Future,"BUTTERWORTH, Graham",1663,1544,119
2002,Mangere,ACT,"ANGELL, Juanita",467,394,73
2002,Mangere,Alliance,"RICHARDS, Leonard",350,304,46
2002,Mangere,Christian Heritage,"PANAPA, Steven",442,370,72
2002,Mangere,Green Party,"ABEL, Stephen",874,721,153
2002,Mangere,Labour Party,"FIELD, Taito Phillip Hans",17995,15377,2618
2002,Mangere,National Party,"TAYLOR, Sylvia Rina",2620,2267,353
2002,Mangere,Progressive Coalition,"BROWN, Rosie",609,543,66
2002,Mangere,United Future,"SETTLE, Herbert Bruce",754,641,113
2002,Manukau East,ACT,"TRASS, Gerald Ivan",1393,1187,206
2002,Manukau East,Alliance,"SHIELDS, Simon",236,199,37
2002,Manukau East,Anti-Capitalist Alliance,"MULLER, Mark",67,51,16
2002,Manukau East,Christian Heritage,"PAKI, Mary",511,421,90
2002,Manukau East,Labour Party,"ROBERTSON, H V Ross",16543,14472,2071
2002,Manukau East,National Party,"ANAE, Arthur",5886,5142,744
2002,Manukau East,Progressive Coalition,"ROBSON, Matthew",775,683,92
2002,Manukau East,United Future,"CHAL, Kelly",884,781,103
2002,Manurewa,ACT,"BEVIN, Bryce Alister Peter",992,879,113
2002,Manurewa,Alliance,"RAWHITI, Hayley",287,250,37
2002,Manurewa,Christian Heritage,"WILLIS, Daniel",546,472,74
2002,Manurewa,Green Party,"JOHNSON, Alan",1193,876,317
2002,Manurewa,Independent,"MAROROA, Tuporo Matatai",49,36,13
2002,Manurewa,Labour Party,"HAWKINS, George Warren",15821,14110,1711
2002,Manurewa,NZ First,"GEARY, John Bryce",1881,1708,173
2002,Manurewa,National Party,"AUVA'A, Perofeta Enosa Tololima",3273,2883,390
2002,Manurewa,Progressive Coalition,"PA'O WILLIAMS, Tafe Vaisigano Susi",329,279,50
2002,Manurewa,Reform's Tahi,"BERGERSEN, David Ewen",55,49,6
2002,Manurewa,United Future,"COLLINS, Peter",994,896,98
2002,Maungakiekie,ACT,"ROODT, Robin Mark",949,766,183
2002,Maungakiekie,Alliance,"RANDALL, Joseph",222,177,45
2002,Maungakiekie,Christian Heritage,"PEPPERELL, Barry",346,271,75
2002,Maungakiekie,Communist League,"ROTH, Janet Madeleine",72,61,11
2002,Maungakiekie,Green Party,"FAIRLEY, Donald",1114,870,244
2002,Maungakiekie,Labour Party,"GOSCHE, Mark James",14273,12151,2122
2002,Maungakiekie,National Party,"VERNON, Belinda",7670,6636,1034
2002,Maungakiekie,Progressive Coalition,"PATCHETT, Elizabeth Dawn",373,321,52
2002,Maungakiekie,United Future,"HARPER, Kevin",867,745,122
2002,Mt Albert,ACT,"WILLIAMS, Bruce Clifford",1550,1305,245
2002,Mt Albert,Alliance,"OVENS, Jill",334,282,52
2002,Mt Albert,Anti-Capitalist Alliance,"WHITMORE, Daphna Kaye",116,88,28
2002,Mt Albert,Christian Heritage,"COOPER, Pauline",426,368,58
2002,Mt Albert,Green Party,"CARAPIET, Jonathan",1537,1204,333
2002,Mt Albert,Labour Party,"CLARK, Helen Elizabeth",19514,16404,3110
2002,Mt Albert,National Party,"BHANA, Raewyn Teresa",3490,2953,537
2002,Mt Albert,Progressive Coalition,"ABRAHAM - DANCE, Gillian Laura Mary",299,248,51
2002,Mt Albert,Project Hope,"STEVENSON, Charles Richard Barr",52,43,9
2002,Mt Albert,United Future,"HOSSEINI, Seyed Hassan",726,623,103
2002,Mt Roskill,ACT,"WANG, Kenneth Xiaoxuan",1494,1243,251
2002,Mt Roskill,Alliance,"LANE, Brendon",337,283,54
2002,Mt Roskill,Christian Heritage,"MCQUEEN, Ewen",582,494,88
2002,Mt Roskill,Independent,"BERRY, Stephen James",157,126,31
2002,Mt Roskill,Labour Party,"GOFF, Philip Bruce",18702,15926,2776
2002,Mt Roskill,NZ First,"MULLINS, Mary Dawn",1301,1129,172
2002,Mt Roskill,National Party,"TREWHEELA, Brent Keith",4987,4321,666
2002,Mt Roskill,Progressive Coalition,"BARNARD, Trevor Lance",229,201,28
2002,Mt Roskill,United Future,"OGILVY, Bernard",1253,1072,181
2002,Napier,ACT,"HUATA, Donna Lynn",1381,1279,102
2002,Napier,Alliance,"BOAG, Maxine",686,641,45
2002,Napier,Christian Heritage,"BARR, Colin",616,571,45
2002,Napier,Green Party,"CREIGHTON, Terence",1782,1561,221
2002,Napier,Labour Party,"FAIRBROTHER, Elwin Russell",14659,13534,1125
2002,Napier,National Party,"TOLLEY, Anne Merrilyn",10502,9718,784
2002,Napier,OneNZ Party,"BULL, Michael John",506,476,30
2002,Napier,United Future,"TURNER, Graham",1569,1477,92
2002,Nelson,Alliance,"O'CONNOR, Mary",364,319,45
2002,Nelson,Christian Heritage,"BARBER, Nicholas",635,573,62
2002,Nelson,Green Party,"WARD, Michael",4084,3550,534
2002,Nelson,Labour Party,"KENNEDY, John",11547,10678,869
2002,Nelson,National Party,"SMITH, Nick",15779,14427,1352
2002,Nelson,Progressive Coalition,"BAYLY, Adrian",211,188,23
2002,Nelson,United Future,"WELLS, Dennis",762,708,54
2002,New Lynn,ACT,"WEST, Trevor",1494,1347,147
2002,New Lynn,Alliance,"HEHIR, Gerard",470,398,72
2002,New Lynn,Christian Heritage,"JENKINS, Betty",635,549,86
2002,New Lynn,Green Party,"TOMS, Saffron",1713,1403,310
2002,New Lynn,Labour Party,"CUNLIFFE, David Richard",16687,14718,1969
2002,New Lynn,National Party,"BEACH, Brendan Carl",5502,4913,589
2002,New Lynn,Progressive Coalition,"MCCALLUM, Douglas",396,337,59
2002,New Lynn,United Future,"FELLNER, Susanne",1471,1323,148
2002,New Plymouth,Christian Heritage,"CHADWICK, Trevor",284,249,35
2002,New Plymouth,Green Party,"BERGER, Peter",1004,872,132
2002,New Plymouth,Labour Party,"DUYNHOVEN, Harry James",20905,19268,1637
2002,New Plymouth,Libertarianz,"WEBBER, Michael St George",238,213,25
2002,New Plymouth,National Party,"HORTON, Geoffrey Ray",5975,5444,531
2002,New Plymouth,Progressive Coalition,"IHAIA, Steven Charles",103,90,13
2002,New Plymouth,United Future,"SMITHERS, Harold Thomas",1459,1352,107
2002,North Shore,ACT,"CODDINGTON, Deborah",3018,2699,319
2002,North Shore,Alliance,"BARTLEET, Karl",287,247,40
2002,North Shore,Christian Heritage,"MUNROE, Mark",370,324,46
2002,North Shore,Green Party,"GREEN, Richard",1913,1509,404
2002,North Shore,Labour Party,"DUNCAN, Helen Patricia",9970,8881,1089
2002,North Shore,NZ First,"STEWART, Barbara Joy",2013,1785,228
2002,North Shore,National Party,"MAPP, Wayne Daniel",15068,13546,1522
2002,North Shore,Progressive Coalition,"BROCK, Jennifer",296,268,28
2002,North Shore,United Future,"TIZARD, Ross",1329,1193,136
2002,Northcote,ACT,"DAWSON, Dianne Cathrine",1255,1095,160
2002,Northcote,Alliance,"SOUTHWOOD, Douglas",185,151,34
2002,Northcote,Christian Heritage,"HOEK, Dirk",313,275,38
2002,Northcote,Green Party,"MACKINTOSH, Rachel",1294,1062,232
2002,Northcote,Labour Party,"HARTLEY, Margaret Ann",12455,11064,1391
2002,Northcote,NZ First,"RILEY, John",1528,1391,137
2002,Northcote,National Party,"SOLE, Jeremy",9831,8930,901
2002,Northcote,Progressive Coalition,"GILLON, Grant Marc",2530,2325,205
2002,Northcote,United Future,"ADAMS, Sharee",1139,1033,106
2002,Northland,ACT,"WOOD, Alan Leonard",609,534,75
2002,Northland,Alliance,"DONOGHUE, John",168,140,28
2002,Northland,Christian Heritage,"JACK, Edmund",479,442,37
2002,Northland,Green Party,"MCVEAGH, Janine",2503,2193,310
2002,Northland,Labour Party,"ROSE, Rachel",5502,5007,495
2002,Northland,Legalise Cannabis,"DANIELS, Judy Merle",301,255,46
2002,Northland,NZ First,"PETERS, James Leonard",4381,4047,334
2002,Northland,National Party,"CARTER, John McGregor",13060,12060,1000
2002,Northland,Progressive Coalition,"KANE, Peter David",337,310,27
2002,Northland,United Future,"MITCALFE, Henry Percy Michael",799,730,69
2002,Ohariu-Belmont,ACT,"ROY, Heather Jean",823,714,109
2002,Ohariu-Belmont,Alliance,"MATTHEWS, Rebecca",222,192,30
2002,Ohariu-Belmont,Christian Heritage,"SALT, Christopher",242,207,35
2002,Ohariu-Belmont,Green Party,"BODLE, Gareth",1008,820,188
2002,Ohariu-Belmont,Labour Party,"BODDY-GREER, Gillian Brooker",6821,6048,773
2002,Ohariu-Belmont,Legalise Cannabis,"MOORE, David Gregory",276,236,40
2002,Ohariu-Belmont,National Party,"STEPHENS, Dale",4440,3989,451
2002,Ohariu-Belmont,Progressive Coalition,"KERR, Christine Paula",210,186,24
2002,Ohariu-Belmont,United Future,"DUNNE, Peter",19355,17567,1788
2002,Otago,ACT,"ECKHOFF, Gerrard Mortland",1294,1158,136
2002,Otago,Alliance,"HUGGARD, Samuel",441,381,60
2002,Otago,Christian Heritage,"FERGUSON, Michael",544,504,40
2002,Otago,Labour Party,"PARKER, David William",14113,12919,1194
2002,Otago,National Party,"HERLIHY, Gavan James",13429,12167,1262
2002,Otago,Progressive Coalition,"VAN WIEREN, Hessel",438,367,71
2002,Otago,United Future,"SMELLIE, Allan",1115,1010,105
2002,Otaki,ACT,"SAGE, Ian Robert",780,711,69
2002,Otaki,Alliance,"JEUNE, Margaret",349,303,46
2002,Otaki,Beneficiaries,"MITCHELL, David K",129,113,16
2002,Otaki,Christian Heritage,"CORNER, Robin",919,852,67
2002,Otaki,Green Party,"GREIG, Caroline",1648,1422,226
2002,Otaki,Independent,"HUNT, Anne",933,866,67
2002,Otaki,Labour Party,"HUGHES, Darren Colyn",18592,17164,1428
2002,Otaki,National Party,"SOWRY, Roger Morrison",10856,9857,999
2002,Otaki,OneNZ Party,"FISHER, Richard George",360,341,19
2002,Otaki,Progressive Coalition,"FRANKLIN, Russell",492,449,43
2002,Pakuranga,ACT,"JOLLANDS, Andrew",2419,2174,245
2002,Pakuranga,Alliance,"PROTHEROE, Alexander Paul",158,136,22
2002,Pakuranga,Christian Heritage,"KO, Jonathan",867,772,95
2002,Pakuranga,Green Party,"ROSE, David",1040,900,140
2002,Pakuranga,Labour Party,"WOOD, Michael Philip",9454,8411,1043
2002,Pakuranga,NZ First,"PARAONE, Reweti Pomare Kingi",2001,1747,254
2002,Pakuranga,National Party,"WILLIAMSON, Maurice Donald",14010,12655,1355
2002,Pakuranga,Progressive Coalition,"LY, Ngov Dun Meng",478,430,48
2002,Pakuranga,United Future,"MCINNES, Ian",1461,1320,141
2002,Palmerston North,Alliance,"WHEELER, Peter",430,364,66
2002,Palmerston North,Christian Heritage,"JARVIS, William",467,398,69
2002,Palmerston North,Green Party,"MCKENZIE, Margaret",1436,1228,208
2002,Palmerston North,Independent,"CHATHA, Arshad Mohamood",156,131,25
2002,Palmerston North,Labour Party,"MAHAREY, Steven",17032,15353,1679
2002,Palmerston North,National Party,"SCOTT, David",9405,8528,877
2002,Palmerston North,OneNZ Party,"WHITE, James Findlay",189,178,11
2002,Palmerston North,United Future,"BOWATER, Grant",1089,991,98
2002,Piako,ACT,"DAVIES, Richard Andrew",1393,1267,126
2002,Piako,Alliance,"JAMIESON, Peter",185,159,26
2002,Piako,Christian Heritage,"RANBY, Colin",469,423,46
2002,Piako,Green Party,"LEE, Stephen",1239,1042,197
2002,Piako,Labour Party,"MORONEY, Suzanne Mary",10164,9398,766
2002,Piako,NZ First,"STEWART, Gordon James",3302,3051,251
2002,Piako,National Party,"TISCH, William Lindsay",11785,10775,1010
2002,Piako,Progressive Coalition,"PEMBERTON, John",313,289,24
2002,Piako,United Future,"BRETTON, Christopher",1031,948,83
2002,Port Waikato,ACT,"HACKSHAW, Mary Frances",1526,1366,160
2002,Port Waikato,Christian Heritage,"ROBINSON, Alexander",543,485,58
2002,Port Waikato,Green Party,"WILLIAMS, Jane",1812,1533,279
2002,Port Waikato,Labour Party,"HARRY, Lesley",7980,7266,714
2002,Port Waikato,NZ First,"DAW, Arthur Robert",3506,3225,281
2002,Port Waikato,National Party,"HUTCHISON, Charles Paul Telford",13952,12814,1138
2002,Port Waikato,Progressive Coalition,"PARKASH, Ram",213,194,19
2002,Port Waikato,United Future,"FITNESS, David",1006,901,105
2002,Rakaia,ACT,"SNEDDON, Gregory John",898,801,97
2002,Rakaia,Christian Heritage,"PAYNE, Roger",1073,1009,64
2002,Rakaia,Green Party,"PALMER-HESKETH, Fraser",1579,1370,209
2002,Rakaia,Labour Party,"MILNE, Tony",9794,9041,753
2002,Rakaia,National Party,"CONNELL, Brian David",15870,14694,1176
2002,Rakaia,Progressive Coalition,"CHEESMAN, Christine",563,518,45
2002,Rakaia,United Future,"BARR, Andrew Graeme",1832,1723,109
2002,Rangitikei,ACT,"WAUGH, John Harold",586,510,76
2002,Rangitikei,Alliance,"MARTIN, Dion",394,343,51
2002,Rangitikei,Christian Heritage,"JARVIS, Ruth",684,630,54
2002,Rangitikei,Labour Party,"HAYWARD, Margaret Jane",10444,9616,828
2002,Rangitikei,National Party,"POWER, Simon James",15759,14467,1292
2002,Rangitikei,Progressive Coalition,"SMITH, Heather Marion",373,333,40
2002,Rangitikei,United Future,"HOWARD, James",1223,1118,105
2002,Rimutaka,ACT,"KEARNEY, Nigel Bruce",1168,1029,139
2002,Rimutaka,Alliance,"LAWLER, Moira",310,270,40
2002,Rimutaka,Christian Heritage,"MUNN, Kenneth",1014,930,84
2002,Rimutaka,Green Party,"NORMAN, Russel",1267,1078,189
